,annotation
BSU34550,S_Carbohydrates_and_related_molecules
BSU34560,S_Carbohydrates_and_related_molecules
BSU34570,S_Carbohydrates_and_related_molecules
BSU34590,S_Transport
BSU34600,S_Transport
BSU34610,S_Transport
BSU34660,S_Transport
BSU34790,S_Membrane_bioenergetics
BSU34860,S_Amino_acids_and_related_molecules
BSU34870,S_Amino_acids_and_related_molecules
BSU34880,S_Amino_acids_and_related_molecules
BSU34890,S_Amino_acids_and_related_molecules
BSU34900,S_Amino_acids_and_related_molecules
BSU34910,S_Amino_acids_and_related_molecules
BSU34920,S_Amino_acids_and_related_molecules
BSU35010,S_Carbohydrates_and_related_molecules
BSU35020,S_Carbohydrates_and_related_molecules
BSU35290,translation
BSU35300,translocation
BSU35530,S_Cell_wall
BSU35540,S_Cell_wall
BSU35550,S_Cell_wall
BSU35570,S_Cell_wall
BSU35580,S_Cell_wall
BSU35590,S_Cell_wall
BSU35600,S_Cell_wall
BSU35609,S_Cell_wall
BSU35620,S_Cell_wall
BSU35660,S_Carbohydrates_and_related_molecules
BSU35670,S_Cell_wall
BSU35680,S_Cell_wall
BSU35690,S_Cell_wall
BSU35700,S_Cell_wall
BSU35710,S_Cell_wall
BSU35720,S_Cell_wall
BSU35730,S_Cell_wall
BSU35740,S_Cell_wall
BSU35750,S_Cell_wall
BSU35760,S_Cell_wall
BSU35780,S_Cell_wall
BSU35790,S_Carbohydrates_and_related_molecules
BSU35920,S_Carbohydrates_and_related_molecules
BSU35930,S_Transport
BSU35940,S_Transport
BSU35950,S_Transport
BSU35960,S_Transport
BSU36000,S_Carbohydrates_and_related_molecules
BSU36010,S_Amino_acids_and_related_molecules
BSU36030,S_Transport
BSU36120,S_Transport
BSU36130,S_Transport
BSU36370,S_Lipids
BSU36470,S_Transport
BSU36510,S_Transport
BSU36590,S_Lipids
BSU36640,S_Amino_acids_and_related_molecules
BSU36650,S_Amino_acids_and_related_molecules
BSU36660,S_Amino_acids_and_related_molecules
BSU36710,S_Membrane_bioenergetics
BSU36760,S_Cell_wall
BSU36800,S_Membrane_bioenergetics
BSU36810,S_Membrane_bioenergetics
BSU36820,S_Membrane_bioenergetics
BSU36830,S_Membrane_bioenergetics
BSU36840,S_Membrane_bioenergetics
BSU36850,S_Membrane_bioenergetics
BSU36860,S_Membrane_bioenergetics
BSU36870,S_Membrane_bioenergetics
BSU36880,S_Membrane_bioenergetics
BSU36890,S_Nucleotides_and_nucleic_acids
BSU36900,S_Amino_acids_and_related_molecules
BSU36920,S_Carbohydrates_and_related_molecules
BSU37010,translation
BSU37060,S_Nucleotides_and_nucleic_acids
BSU37070,formation
BSU37080,transcription
BSU37100,S_Cell_wall
BSU37110,S_Carbohydrates_and_related_molecules
BSU37120,S_Carbohydrates_and_related_molecules
BSU37150,S_Nucleotides_and_nucleic_acids
BSU37160,transcription
BSU37170,S_Lipids
BSU37190,S_Lipids
BSU37240,S_Lipids
BSU37320,S_Transport
BSU37330,charging
BSU37490,S_Amino_acids_and_related_molecules
BSU37500,S_Amino_acids_and_related_molecules
BSU37660,S_Carbohydrates_and_related_molecules
BSU37710,S_Amino_acids_and_related_molecules
BSU37760,S_Transport
BSU37780,S_Amino_acids_and_related_molecules
BSU37790,S_Amino_acids_and_related_molecules
BSU38020,S_Coenzymes_and_prosthetic_groups
BSU38040,S_Carbohydrates_and_related_molecules
BSU38050,S_Transport
BSU38060,S_Transport
BSU38110,S_Membrane_bioenergetics
BSU38140,S_Membrane_bioenergetics
BSU38150,S_Membrane_bioenergetics
BSU38160,S_Membrane_bioenergetics
BSU38170,S_Membrane_bioenergetics
BSU38190,S_Carbohydrates_and_related_molecules
BSU38200,S_Carbohydrates_and_related_molecules
BSU38240,S_Transport
BSU38260,S_Transport
BSU38270,S_Transport
BSU38280,S_Transport
BSU38290,S_Coenzymes_and_prosthetic_groups
BSU38300,S_Coenzymes_and_prosthetic_groups
BSU38390,S_Transport
BSU38490,S_Coenzymes_and_prosthetic_groups
BSU38500,S_Cell_wall
BSU38510,S_Cell_wall
BSU38520,S_Cell_wall
BSU38530,S_Cell_wall
BSU38550,S_Amino_acids_and_related_molecules
BSU38560,S_Carbohydrates_and_related_molecules
BSU38570,S_Transport
BSU38580,S_Transport
BSU38590,S_Transport
BSU38630,S_Other_function
BSU38700,transcription
BSU38710,S_Transport
BSU38750,S_Membrane_bioenergetics
BSU38760,S_Membrane_bioenergetics
BSU38770,S_Transport
BSU38830,S_Carbohydrates_and_related_molecules
BSU38860,S_Carbohydrates_and_related_molecules
BSU38980,S_Carbohydrates_and_related_molecules
BSU38990,S_Carbohydrates_and_related_molecules
BSU39020,S_Transport
BSU39050,S_Other_function
BSU39060,S_Transport
BSU39260,S_Carbohydrates_and_related_molecules
BSU39270,S_Transport
BSU39350,S_Amino_acids_and_related_molecules
BSU39360,S_Amino_acids_and_related_molecules
BSU39370,S_Amino_acids_and_related_molecules
BSU39380,S_Amino_acids_and_related_molecules
BSU39390,S_Transport
BSU39400,S_Nucleotides_and_nucleic_acids
BSU39410,S_Transport
BSU39420,S_Nucleotides_and_nucleic_acids
BSU39450,S_Transport
BSU39540,S_Other_function
BSU39610,S_Transport
BSU39670,S_Carbohydrates_and_related_molecules
BSU39700,S_Carbohydrates_and_related_molecules
BSU39710,S_Transport
BSU39720,S_Carbohydrates_and_related_molecules
BSU39730,S_Carbohydrates_and_related_molecules
BSU39740,S_Carbohydrates_and_related_molecules
BSU39750,S_Carbohydrates_and_related_molecules
BSU39760,S_Amino_acids_and_related_molecules
BSU39780,S_Carbohydrates_and_related_molecules
BSU39860,S_Carbohydrates_and_related_molecules
BSU39920,S_Amino_acids_and_related_molecules
BSU39980,S_Carbohydrates_and_related_molecules
BSU40040,S_Carbohydrates_and_related_molecules
BSU40060,S_Carbohydrates_and_related_molecules
BSU40070,S_Transport
BSU40110,S_Carbohydrates_and_related_molecules
BSU40190,S_Carbohydrates_and_related_molecules
BSU40320,S_Amino_acids_and_related_molecules
BSU40330,S_Transport
BSU40340,S_Amino_acids_and_related_molecules
BSU40420,S_Nucleotides_and_nucleic_acids
BSU40500,formation
BSU40550,S_Phosphate_and_sulfur
BSU40850,S_Carbohydrates_and_related_molecules
BSU40890,formation
BSU40910,formation
BSU41050,formation
BSU41060,formation
dummy,ACACt2
