# SignalP-5.0	Organism: Gram-positive	Timestamp: 20190601013451
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
_BSU09920	OTHER	0.012802	0.000636	0.001600	0.984961	
_BSU09940	SP(Sec/SPI)	0.675233	0.014762	0.046939	0.263066	CS pos: 26-27. AAA-KE. Pr: 0.3463
_BSU09950	LIPO(Sec/SPII)	0.001157	0.000081	0.998545	0.000218	CS pos: 19-20. LSA-CS. Pr: 0.9992
_BSU09958	OTHER	0.117823	0.011348	0.133117	0.737711	
_BSU09965	OTHER	0.006417	0.000152	0.008611	0.984820	
_BSU10000	SP(Sec/SPI)	0.379317	0.328746	0.177927	0.114010	CS pos: 30-31. SSG-KQ. Pr: 0.3532
_BSU10009	OTHER	0.054514	0.007045	0.203502	0.734939	
_BSU10010	OTHER	0.037352	0.005473	0.083899	0.873276	
_BSU10050	OTHER	0.002405	0.000167	0.005425	0.992003	
_BSU10080	OTHER	0.006871	0.000525	0.002912	0.989692	
_BSU10110	OTHER	0.009113	0.000304	0.005601	0.984982	
_BSU10160	OTHER	0.228527	0.001010	0.006862	0.763600	
_BSU10180	OTHER	0.002244	0.000322	0.002299	0.995135	
_BSU10220	OTHER	0.034437	0.000266	0.018652	0.946644	
_BSU10300	SP(Sec/SPI)	0.992914	0.002475	0.003806	0.000805	CS pos: 29-30. AQA-AG. Pr: 0.9369
_BSU10330	LIPO(Sec/SPII)	0.000757	0.000102	0.998954	0.000187	CS pos: 19-20. TAA-CS. Pr: 0.9992
_BSU10370	OTHER	0.027272	0.003269	0.026188	0.943271	
_BSU10380	OTHER	0.003326	0.000247	0.000557	0.995870	
_BSU10390	OTHER	0.007441	0.000306	0.001070	0.991182	
_BSU10450	OTHER	0.343871	0.001231	0.064218	0.590680	
_BSU10460	OTHER	0.048184	0.000718	0.053379	0.897720	
_BSU10480	OTHER	0.007569	0.000293	0.001357	0.990781	
_BSU10490	SP(Sec/SPI)	0.636895	0.001521	0.029653	0.331931	CS pos: 32-33. VEG-VS. Pr: 0.2203
_BSU10520	OTHER	0.122888	0.002602	0.056979	0.817530	
_BSU10570	OTHER	0.037847	0.007145	0.056506	0.898502	
_BSU10580	OTHER	0.004834	0.000444	0.003824	0.990898	
_BSU10590	OTHER	0.013349	0.000347	0.023832	0.962472	
_BSU10740	OTHER	0.005978	0.002082	0.001670	0.990271	
_BSU10760	OTHER	0.184103	0.006072	0.050750	0.759074	
_BSU10770	SP(Sec/SPI)	0.936346	0.059067	0.001938	0.002649	CS pos: 31-32. AAA-AG. Pr: 0.6049
_BSU10820	OTHER	0.033318	0.000356	0.000876	0.965450	
_BSU10870	OTHER	0.013817	0.002014	0.002664	0.981506	
_BSU10960	OTHER	0.040352	0.007131	0.034096	0.918420	
_BSU10980	OTHER	0.019726	0.000518	0.029695	0.950062	
_BSU11040	SP(Sec/SPI)	0.986309	0.001028	0.006406	0.006257	CS pos: 29-30. AQA-KQ. Pr: 0.8125
_BSU11055	OTHER	0.170045	0.033843	0.006425	0.789687	
_BSU11070	SP(Sec/SPI)	0.415442	0.015769	0.176292	0.392497	CS pos: 28-29. SLG-TT. Pr: 0.2192
_BSU11080	OTHER	0.002248	0.000633	0.000371	0.996748	
_BSU11090	OTHER	0.007803	0.000287	0.007124	0.984786	
_BSU11100	SP(Sec/SPI)	0.995108	0.002800	0.001118	0.000973	CS pos: 28-29. ASA-EE. Pr: 0.9588
_BSU11120	OTHER	0.427885	0.047831	0.055848	0.468436	
_BSU11180	OTHER	0.012719	0.000291	0.026985	0.960005	
_BSU11270	LIPO(Sec/SPII)	0.019886	0.000791	0.877089	0.102233	CS pos: 17-18. HMA-CY. Pr: 0.8505
_BSU11300	LIPO(Sec/SPII)	0.000447	0.000082	0.999236	0.000236	CS pos: 17-18. LSG-CG. Pr: 0.9999
_BSU11360	OTHER	0.017578	0.000424	0.000552	0.981446	
_BSU11370	OTHER	0.050959	0.001308	0.001167	0.946566	
_BSU11390	SP(Sec/SPI)	0.663498	0.050487	0.013137	0.272879	CS pos: 29-30. MKA-AP. Pr: 0.3557
_BSU11400	OTHER	0.004477	0.000377	0.001263	0.993884	
_BSU11430	LIPO(Sec/SPII)	0.000944	0.000113	0.998736	0.000207	CS pos: 20-21. LSA-CG. Pr: 0.9989
_BSU11440	SP(Sec/SPI)	0.621568	0.025758	0.076614	0.276060	CS pos: 29-30. MQA-AP. Pr: 0.2347
_BSU11450	OTHER	0.002706	0.000210	0.012347	0.984737	
_BSU11460	OTHER	0.012518	0.000596	0.000928	0.985958	
_BSU11470	OTHER	0.019011	0.001255	0.001487	0.978246	
_BSU11480	OTHER	0.006546	0.000262	0.006171	0.987021	
_BSU11510	OTHER	0.011750	0.000548	0.011331	0.976371	
_BSU11549	OTHER	0.006500	0.002146	0.047071	0.944283	
_BSU11570	OTHER	0.275478	0.064315	0.057997	0.602210	
_BSU11600	OTHER	0.001404	0.000198	0.000351	0.998047	
_BSU11640	OTHER	0.018831	0.000331	0.003735	0.977104	
_BSU11730	OTHER	0.013278	0.000795	0.001715	0.984211	
_BSU11740	OTHER	0.009433	0.001801	0.001262	0.987505	
_BSU11750	OTHER	0.016690	0.000248	0.003855	0.979206	
_BSU11760	OTHER	0.028284	0.000795	0.004016	0.966904	
_BSU11780	OTHER	0.001705	0.000258	0.000224	0.997813	
_BSU11790	OTHER	0.111059	0.001896	0.006359	0.880686	
_BSU11809	OTHER	0.130918	0.000762	0.191948	0.676372	
_BSU11900	OTHER	0.043664	0.010453	0.011367	0.934515	
_BSU11940	OTHER	0.011515	0.001121	0.001064	0.986300	
_BSU12010	OTHER	0.031228	0.000745	0.004672	0.963356	
_BSU12070	OTHER	0.152630	0.000887	0.257607	0.588877	
_BSU12080	OTHER	0.012623	0.003218	0.002324	0.981835	
_BSU12090	OTHER	0.298644	0.060219	0.047164	0.593973	
_BSU12100	SP(Sec/SPI)	0.496047	0.002275	0.028507	0.473171	CS pos: 31-32. SLK-KE. Pr: 0.1031
_BSU12140	SP(Sec/SPI)	0.637463	0.016081	0.063174	0.283281	CS pos: 26-27. AFS-SV. Pr: 0.3936
_BSU12180	LIPO(Sec/SPII)	0.001046	0.000075	0.998748	0.000131	CS pos: 19-20. LSA-CS. Pr: 0.9992
_BSU12240	OTHER	0.051003	0.000691	0.084285	0.864021	
_BSU12250	OTHER	0.033201	0.001551	0.001541	0.963707	
_BSU12260	OTHER	0.019519	0.001075	0.017559	0.961847	
_BSU12310	OTHER	0.013837	0.000493	0.001399	0.984270	
_BSU12360	OTHER	0.290588	0.005882	0.046968	0.656562	
_BSU12400	OTHER	0.141497	0.010247	0.059125	0.789131	
_BSU12460	OTHER	0.028901	0.001532	0.003543	0.966024	
_BSU12610	OTHER	0.053431	0.057954	0.003517	0.885098	
_BSU12790	OTHER	0.005646	0.000734	0.001143	0.992476	
_BSU12800	OTHER	0.274021	0.002931	0.087250	0.635798	
_BSU12810	OTHER	0.059691	0.011908	0.002247	0.926154	
_BSU12830	OTHER	0.006730	0.001176	0.030810	0.961284	
_BSU12840	OTHER	0.290126	0.002382	0.021903	0.685589	
_BSU12860	OTHER	0.037999	0.003245	0.009382	0.949375	
_BSU12880	OTHER	0.125704	0.001778	0.027634	0.844883	
_BSU12890	OTHER	0.002036	0.000090	0.000178	0.997695	
_BSU12900	OTHER	0.035841	0.035030	0.014609	0.914520	
_BSU12930	OTHER	0.406841	0.006281	0.017648	0.569230	
_BSU12940	OTHER	0.010970	0.001338	0.005725	0.981968	
_BSU12950	OTHER	0.077192	0.002761	0.007386	0.912661	
_BSU12960	LIPO(Sec/SPII)	0.003707	0.000196	0.995778	0.000320	CS pos: 28-29. LMG-CT. Pr: 0.9963
_BSU13060	OTHER	0.021601	0.000633	0.009662	0.968105	
_BSU13090	OTHER	0.099077	0.000365	0.013102	0.887457	
_BSU13100	OTHER	0.271913	0.007096	0.055647	0.665344	
_BSU13180	OTHER	0.003017	0.000256	0.000419	0.996308	
_BSU13210	OTHER	0.011220	0.000549	0.197495	0.790735	
_BSU13220	OTHER	0.079442	0.021578	0.001789	0.897190	
_BSU13230	OTHER	0.031041	0.000377	0.002417	0.966166	
_BSU13260	OTHER	0.327491	0.003795	0.046416	0.622299	
_BSU13270	OTHER	0.351689	0.003505	0.050679	0.594127	
_BSU13300	OTHER	0.001624	0.000072	0.000202	0.998102	
_BSU13310	OTHER	0.004364	0.000517	0.002106	0.993013	
_BSU13380	OTHER	0.146589	0.001379	0.008154	0.843878	
_BSU13390	OTHER	0.007413	0.000131	0.006499	0.985957	
_BSU13420	LIPO(Sec/SPII)	0.009974	0.000286	0.757382	0.232358	CS pos: 19-20. LIA-CT. Pr: 0.7614
_BSU13430	OTHER	0.010229	0.000704	0.000988	0.988079	
_BSU13440	OTHER	0.306259	0.021880	0.014568	0.657293	
_BSU13460	OTHER	0.009300	0.000311	0.001207	0.989182	
_BSU13490	OTHER	0.052537	0.000999	0.111499	0.834966	
_BSU13500	OTHER	0.090631	0.003075	0.010472	0.895822	
_BSU13520	OTHER	0.002671	0.000205	0.002124	0.995000	
_BSU13630	OTHER	0.009022	0.000218	0.005967	0.984793	
_BSU13660	OTHER	0.116243	0.001166	0.008621	0.873969	
_BSU13680	OTHER	0.304108	0.002659	0.011594	0.681639	
_BSU13690	OTHER	0.351405	0.039950	0.022199	0.586445	
_BSU13710	OTHER	0.008580	0.000370	0.016119	0.974930	
_BSU13780	OTHER	0.015722	0.000615	0.002498	0.981165	
_BSU13830	OTHER	0.059913	0.000579	0.190983	0.748525	
_BSU13840	SP(Sec/SPI)	0.982339	0.015269	0.000887	0.001505	CS pos: 26-27. AQA-EE. Pr: 0.9674
_BSU13850	OTHER	0.004699	0.000273	0.016798	0.978230	
_BSU13890	OTHER	0.376131	0.046938	0.061183	0.515749	
_BSU13950	OTHER	0.147281	0.001435	0.105549	0.745735	
_BSU13980	OTHER	0.349217	0.003688	0.011084	0.636011	
_BSU14030	OTHER	0.053649	0.026890	0.023200	0.896261	
_BSU14040	OTHER	0.084395	0.059272	0.007246	0.849087	
_BSU14050	TAT(Tat/SPI)	0.007381	0.981474	0.003950	0.007195	CS pos: 31-32. GYA-RY. Pr: 0.7090
_BSU14080	OTHER	0.123034	0.000926	0.086660	0.789380	
_BSU14210	OTHER	0.002822	0.000259	0.000696	0.996223	
_BSU14320	OTHER	0.010407	0.000192	0.024620	0.964781	
_BSU14330	OTHER	0.004946	0.000103	0.000840	0.994111	
_BSU14340	OTHER	0.008857	0.000372	0.002268	0.988503	
_BSU14350	SP(Sec/SPI)	0.907173	0.002256	0.027892	0.062680	CS pos: 26-27. RSA-AP. Pr: 0.2252
_BSU14360	OTHER	0.008650	0.000581	0.001457	0.989312	
_BSU14370	OTHER	0.110129	0.001713	0.025414	0.862744	
_BSU14400	OTHER	0.011539	0.001920	0.000579	0.985963	
_BSU14410	OTHER	0.045436	0.000506	0.001131	0.952928	
_BSU14420	OTHER	0.026792	0.000411	0.047139	0.925658	
_BSU14490	OTHER	0.006223	0.000167	0.004004	0.989606	
_BSU14510	OTHER	0.039475	0.003079	0.013915	0.943531	
_BSU14569	OTHER	0.202170	0.000604	0.219470	0.577756	
_BSU14570	LIPO(Sec/SPII)	0.001615	0.001311	0.996592	0.000483	CS pos: 25-26. LTG-CM. Pr: 0.9965
_BSU14620	LIPO(Sec/SPII)	0.000540	0.000110	0.999009	0.000341	CS pos: 18-19. LSG-CT. Pr: 0.9997
_BSU14700	SP(Sec/SPI)	0.994006	0.004321	0.000964	0.000709	CS pos: 27-28. VQA-AE. Pr: 0.9839
_BSU14710	OTHER	0.001796	0.000140	0.002822	0.995242	
_BSU14720	OTHER	0.004825	0.002461	0.000786	0.991928	
_BSU14740	OTHER	0.011984	0.000633	0.007071	0.980312	
_BSU14760	OTHER	0.165202	0.001190	0.033353	0.800254	
_BSU14780	OTHER	0.001666	0.000170	0.004084	0.994079	
_BSU14800	LIPO(Sec/SPII)	0.000900	0.000076	0.998675	0.000349	CS pos: 16-17. LSA-CA. Pr: 0.9991
_BSU14850	OTHER	0.015291	0.000720	0.126395	0.857594	
_BSU14870	SP(Sec/SPI)	0.472467	0.010459	0.235007	0.282067	CS pos: 32-33. GSG-QG. Pr: 0.1337
_BSU14880	OTHER	0.008345	0.000150	0.000691	0.990814	
_BSU14890	LIPO(Sec/SPII)	0.000420	0.000055	0.999243	0.000282	CS pos: 20-21. LSG-CG. Pr: 0.9996
_BSU14900	OTHER	0.012366	0.000309	0.001043	0.986282	
_BSU14910	OTHER	0.047849	0.018958	0.001753	0.931440	
_BSU14920	OTHER	0.006788	0.000305	0.006288	0.986619	
_BSU14930	OTHER	0.008300	0.001099	0.004853	0.985748	
_BSU14960	SP(Sec/SPI)	0.455463	0.003180	0.135065	0.406291	CS pos: 32-33. KKS-ND. Pr: 0.0400
_BSU15030	OTHER	0.232873	0.007589	0.229525	0.530012	
_BSU15050	SP(Sec/SPI)	0.505344	0.004609	0.010972	0.479075	CS pos: 35-36. GEA-TE. Pr: 0.3873
_BSU15150	OTHER	0.258912	0.019586	0.001822	0.719680	
_BSU15160	OTHER	0.145900	0.002322	0.010607	0.841171	
_BSU15170	OTHER	0.210751	0.001334	0.008851	0.779064	
_BSU15190	OTHER	0.009191	0.006408	0.006271	0.978129	
_BSU15210	OTHER	0.080843	0.004020	0.021627	0.893511	
_BSU15220	OTHER	0.004308	0.000138	0.002021	0.993533	
_BSU15240	OTHER	0.040168	0.000749	0.002102	0.956981	
_BSU15250	SP(Sec/SPI)	0.762694	0.007150	0.112104	0.118052	CS pos: 35-36. SAA-ET. Pr: 0.3821
_BSU15260	SP(Sec/SPI)	0.462786	0.003591	0.100143	0.433479	CS pos: 27-28. FNS-LK. Pr: 0.0870
_BSU15270	OTHER	0.144575	0.001245	0.066367	0.787813	
_BSU15280	OTHER	0.007595	0.000317	0.001222	0.990867	
_BSU15300	SP(Sec/SPI)	0.911015	0.034901	0.045659	0.008426	CS pos: 30-31. AGA-SS. Pr: 0.4287
_BSU15310	OTHER	0.010997	0.003573	0.008591	0.976839	
_BSU15320	OTHER	0.043451	0.000694	0.019201	0.936654	
_BSU15400	OTHER	0.016092	0.001260	0.003484	0.979165	
_BSU15450	OTHER	0.006254	0.000082	0.032923	0.960740	
_BSU15480	OTHER	0.070849	0.006286	0.005415	0.917450	
_BSU15580	OTHER	0.344580	0.055244	0.076866	0.523310	
_BSU15650	OTHER	0.010099	0.000566	0.002616	0.986720	
_BSU15770	OTHER	0.005810	0.002323	0.001259	0.990609	
_BSU15950	OTHER	0.003612	0.000316	0.000402	0.995670	
_BSU15960	SP(Sec/SPI)	0.998344	0.000575	0.000828	0.000253	CS pos: 27-28. ADA-AE. Pr: 0.9563
_BSU16080	OTHER	0.005872	0.000675	0.001098	0.992354	
_BSU16210	OTHER	0.315097	0.018017	0.007279	0.659607	
_BSU16220	OTHER	0.078130	0.005242	0.014120	0.902508	
_BSU16250	OTHER	0.002100	0.000489	0.000323	0.997087	
_BSU16300	SP(Sec/SPI)	0.668322	0.003947	0.163162	0.164568	CS pos: 36-37. SEA-KK. Pr: 0.1602
_BSU16310	OTHER	0.005969	0.000959	0.001986	0.991086	
_BSU16320	OTHER	0.021785	0.061638	0.000879	0.915698	
_BSU16340	SP(Sec/SPI)	0.991520	0.003872	0.003596	0.001012	CS pos: 26-27. AAA-AD. Pr: 0.5942
_BSU16350	OTHER	0.008678	0.001037	0.008422	0.981863	
_BSU16360	OTHER	0.000880	0.000179	0.006015	0.992926	
_BSU16370	OTHER	0.032455	0.001999	0.023989	0.941557	
_BSU16380	OTHER	0.009173	0.000347	0.004794	0.985686	
_BSU16390	OTHER	0.002490	0.000788	0.016563	0.980159	
_BSU16400	OTHER	0.002271	0.000290	0.000399	0.997040	
_BSU16430	OTHER	0.013309	0.001836	0.000230	0.984626	
_BSU16540	OTHER	0.004031	0.000401	0.015169	0.980399	
_BSU16560	OTHER	0.063497	0.006116	0.002542	0.927845	
_BSU16700	SP(Sec/SPI)	0.791803	0.000754	0.080394	0.127048	CS pos: 27-28. PHA-LD. Pr: 0.6727
_BSU16800	OTHER	0.002531	0.000191	0.028999	0.968279	
_BSU16825	OTHER	0.068169	0.000548	0.040057	0.891227	
_BSU16910	OTHER	0.001854	0.000197	0.000255	0.997693	
_BSU16920	OTHER	0.141429	0.001004	0.012181	0.845386	
_BSU16950	OTHER	0.332955	0.013891	0.093468	0.559686	
_BSU16960	OTHER	0.133704	0.004348	0.008768	0.853180	
_BSU17030	OTHER	0.045558	0.002493	0.014636	0.937312	
_BSU17060	OTHER	0.004335	0.000540	0.015106	0.980019	
_BSU17070	OTHER	0.016431	0.000478	0.003552	0.979539	
_BSU17230	OTHER	0.003455	0.000158	0.000446	0.995941	
_BSU17270	SP(Sec/SPI)	0.547389	0.004935	0.024283	0.423392	CS pos: 27-28. LEP-EP. Pr: 0.0920
_BSU17290	OTHER	0.131655	0.001453	0.017041	0.849851	
_BSU17300	OTHER	0.048214	0.000990	0.047975	0.902821	
_BSU17310	OTHER	0.155340	0.020380	0.008675	0.815605	
_BSU17410	OTHER	0.004773	0.000527	0.000818	0.993881	
_BSU17470	OTHER	0.077635	0.000344	0.021790	0.900231	
_BSU17550	OTHER	0.011161	0.000438	0.007181	0.981219	
_BSU17559	OTHER	0.012055	0.000953	0.010026	0.976967	
_BSU17570	OTHER	0.009493	0.000430	0.002457	0.987621	
_BSU17580	OTHER	0.008613	0.000278	0.000695	0.990413	
_BSU17620	LIPO(Sec/SPII)	0.005973	0.000123	0.993601	0.000303	CS pos: 19-20. LAA-CG. Pr: 0.9945
_BSU17630	OTHER	0.063360	0.073535	0.036986	0.826119	
_BSU17690	SP(Sec/SPI)	0.944139	0.044132	0.008281	0.003448	CS pos: 32-33. ADA-QV. Pr: 0.4336
_BSU17699	OTHER	0.020942	0.000216	0.066518	0.912324	
_BSU17710	SP(Sec/SPI)	0.645376	0.037207	0.014932	0.302485	CS pos: 30-31. GRA-AG. Pr: 0.1831
_BSU17750	OTHER	0.010993	0.001883	0.002472	0.984652	
_BSU17760	OTHER	0.072723	0.006705	0.026168	0.894404	
_BSU17770	LIPO(Sec/SPII)	0.014474	0.000201	0.984330	0.000994	CS pos: 24-25. VTG-CW. Pr: 0.9730
_BSU17780	OTHER	0.011923	0.000444	0.000810	0.986823	
_BSU17800	OTHER	0.281334	0.006671	0.120199	0.591795	
_BSU17810	OTHER	0.115337	0.000732	0.020659	0.863272	
_BSU17820	SP(Sec/SPI)	0.836279	0.007099	0.001697	0.154924	CS pos: 51-52. IYA-ED. Pr: 0.8339
_BSU17830	OTHER	0.006102	0.000105	0.007336	0.986457	
_BSU17910	OTHER	0.012422	0.000617	0.009369	0.977592	
_BSU17930	OTHER	0.011302	0.001626	0.349161	0.637911	
_BSU17950	OTHER	0.038174	0.000719	0.031120	0.929987	
_BSU18010	OTHER	0.382449	0.001842	0.171222	0.444487	
_BSU18070	OTHER	0.306618	0.007403	0.020308	0.665670	
_BSU18100	OTHER	0.003675	0.001058	0.000710	0.994557	
_BSU18120	OTHER	0.001470	0.000172	0.000700	0.997658	
_BSU18150	SP(Sec/SPI)	0.992661	0.001926	0.002290	0.003123	CS pos: 32-33. VLA-AS. Pr: 0.9150
_BSU18160	SP(Sec/SPI)	0.772168	0.000347	0.227286	0.000200	CS pos: 26-27. AYA-AT. Pr: 0.7664
_BSU18170	OTHER	0.079027	0.001800	0.219150	0.700023	
_BSU18190	OTHER	0.015730	0.000194	0.006315	0.977761	
_BSU18270	OTHER	0.001528	0.000356	0.008887	0.989229	
_BSU18290	OTHER	0.127573	0.001593	0.034107	0.836727	
_BSU18350	SP(Sec/SPI)	0.985862	0.008186	0.001901	0.004052	CS pos: 29-30. ALA-AE. Pr: 0.9612
_BSU18370	OTHER	0.053546	0.001025	0.014888	0.930542	
_BSU18410	SP(Sec/SPI)	0.979319	0.001975	0.017813	0.000893	CS pos: 28-29. AEA-KK. Pr: 0.7182
_BSU18540	OTHER	0.047989	0.000664	0.106924	0.844423	
_BSU18590	OTHER	0.004782	0.000180	0.075314	0.919724	
_BSU18610	SP(Sec/SPI)	0.462648	0.002758	0.220663	0.313930	CS pos: 35-36. VKK-NE. Pr: 0.0631
_BSU18630	SP(Sec/SPI)	0.998022	0.000654	0.001103	0.000220	CS pos: 25-26. ASA-AY. Pr: 0.9252
_BSU18640	OTHER	0.048368	0.000874	0.012247	0.938511	
_BSU18650	SP(Sec/SPI)	0.989897	0.000725	0.008034	0.001344	CS pos: 24-25. ALG-AV. Pr: 0.8809
_BSU18669	OTHER	0.036587	0.000339	0.023490	0.939584	
_BSU18670	OTHER	0.006088	0.000795	0.001462	0.991655	
_BSU18730	OTHER	0.039851	0.002208	0.230333	0.727608	
_BSU18750	OTHER	0.007941	0.000427	0.031230	0.960401	
_BSU18770	OTHER	0.005169	0.000192	0.024856	0.969784	
_BSU18800	SP(Sec/SPI)	0.982569	0.012332	0.001868	0.003231	CS pos: 34-35. THA-EA. Pr: 0.4881
_BSU18840	SP(Sec/SPI)	0.996042	0.002938	0.000837	0.000183	CS pos: 28-29. ASA-AS. Pr: 0.9025
_BSU18849	OTHER	0.023481	0.000381	0.044810	0.931328	
_BSU18970	OTHER	0.013085	0.000397	0.001420	0.985099	
_BSU18980	OTHER	0.022607	0.000790	0.007486	0.969117	
_BSU19110	OTHER	0.002282	0.000193	0.011610	0.985915	
_BSU19130	OTHER	0.009514	0.000257	0.007340	0.982889	
_BSU19140	OTHER	0.012336	0.000403	0.007858	0.979404	
_BSU19180	OTHER	0.002896	0.000110	0.003347	0.993647	
_BSU19190	OTHER	0.001605	0.000144	0.049877	0.948374	
_BSU19210	SP(Sec/SPI)	0.996731	0.001600	0.001114	0.000556	CS pos: 25-26. ASA-KE. Pr: 0.8300
_BSU19320	OTHER	0.007396	0.001525	0.000981	0.990098	
_BSU19340	OTHER	0.008137	0.006438	0.043388	0.942037	
_BSU19350	OTHER	0.005487	0.000703	0.009728	0.984081	
_BSU19400	LIPO(Sec/SPII)	0.000331	0.000085	0.999349	0.000235	CS pos: 17-18. VAG-CG. Pr: 0.9999
_BSU19440	OTHER	0.206717	0.007320	0.026066	0.759897	
_BSU19480	OTHER	0.001033	0.000142	0.011218	0.987607	
_BSU19490	OTHER	0.005532	0.000683	0.000959	0.992825	
_BSU19510	OTHER	0.339846	0.190105	0.031046	0.439003	
_BSU19520	OTHER	0.006611	0.000163	0.002689	0.990537	
_BSU19579	OTHER	0.025773	0.000486	0.033466	0.940275	
_BSU19580	OTHER	0.059014	0.002878	0.301394	0.636714	
_BSU19610	OTHER	0.295195	0.001994	0.009650	0.693161	
_BSU19620	LIPO(Sec/SPII)	0.004928	0.000100	0.994775	0.000197	CS pos: 23-24. GAG-CS. Pr: 0.9950
_BSU19650	SP(Sec/SPI)	0.685471	0.004381	0.157507	0.152641	CS pos: 25-26. VQS-AD. Pr: 0.4783
_BSU19669	OTHER	0.028396	0.000964	0.061264	0.909376	
_BSU19749	OTHER	0.040878	0.000332	0.273466	0.685324	
_BSU19800	SP(Sec/SPI)	0.970356	0.003778	0.022456	0.003410	CS pos: 26-27. VSA-HY. Pr: 0.8890
_BSU19880	OTHER	0.044103	0.000380	0.109104	0.846412	
_BSU19980	OTHER	0.007419	0.000233	0.001985	0.990363	
_BSU20000	OTHER	0.027368	0.000391	0.068178	0.904063	
_BSU20150	OTHER	0.021122	0.000705	0.003373	0.974800	
_BSU20190	OTHER	0.020053	0.002473	0.115102	0.862372	
_BSU20330	SP(Sec/SPI)	0.500055	0.003134	0.049329	0.447481	CS pos: 36-37. VYS-AK. Pr: 0.3147
_BSU20520	OTHER	0.012956	0.001443	0.010241	0.975359	
_BSU20560	OTHER	0.045169	0.000493	0.088344	0.865993	
_BSU20710	OTHER	0.011261	0.000499	0.005551	0.982689	
_BSU20880	OTHER	0.010792	0.000224	0.001078	0.987907	
_BSU20890	OTHER	0.008810	0.000535	0.003636	0.987019	
_BSU20920	OTHER	0.014400	0.000291	0.035178	0.950131	
_BSU20929	OTHER	0.016047	0.000168	0.016914	0.966872	
_BSU20930	OTHER	0.001407	0.000497	0.105858	0.892238	
_BSU20960	OTHER	0.000862	0.000062	0.000122	0.998954	
_BSU20999	OTHER	0.013010	0.000104	0.004639	0.982248	
_BSU21000	OTHER	0.377563	0.022763	0.088595	0.511079	
_BSU21010	LIPO(Sec/SPII)	0.000512	0.000040	0.999317	0.000131	CS pos: 21-22. LAA-CK. Pr: 0.9997
_BSU21329	OTHER	0.021529	0.000575	0.157197	0.820699	
_BSU21330	OTHER	0.005432	0.000532	0.000542	0.993494	
_BSU21340	OTHER	0.095477	0.002126	0.017375	0.885022	
_BSU21350	OTHER	0.009074	0.000955	0.001092	0.988880	
_BSU21410	OTHER	0.009469	0.001607	0.000951	0.987973	
_BSU21430	OTHER	0.218203	0.001636	0.012086	0.768075	
_BSU21440	OTHER	0.039568	0.002743	0.095943	0.861746	
_BSU21460	SP(Sec/SPI)	0.759480	0.001597	0.153337	0.085586	CS pos: 26-27. TGS-EK. Pr: 0.2195
_BSU21470	OTHER	0.002626	0.000137	0.002297	0.994940	
_BSU21480	SP(Sec/SPI)	0.599933	0.014113	0.125812	0.260142	CS pos: 22-23. GLG-KA. Pr: 0.0835
_BSU21490	OTHER	0.088018	0.000743	0.012902	0.898338	
_BSU21610	LIPO(Sec/SPII)	0.000413	0.000067	0.999357	0.000163	CS pos: 19-20. LAA-CS. Pr: 0.9998
_BSU21650	LIPO(Sec/SPII)	0.005919	0.000104	0.993711	0.000266	CS pos: 19-20. TGG-CA. Pr: 0.9938
_BSU21710	OTHER	0.017893	0.000258	0.010183	0.971666	
_BSU21720	OTHER	0.204390	0.001943	0.011070	0.782597	
_BSU21730	SP(Sec/SPI)	0.724687	0.023005	0.074066	0.178242	CS pos: 33-34. EQA-QV. Pr: 0.3026
_BSU21750	LIPO(Sec/SPII)	0.001538	0.000100	0.998033	0.000329	CS pos: 18-19. LCA-CG. Pr: 0.9981
_BSU21790	OTHER	0.004480	0.000252	0.006596	0.988672	
_BSU21840	SP(Sec/SPI)	0.976943	0.012369	0.004512	0.006175	CS pos: 29-30. LMA-DK. Pr: 0.5277
_BSU21920	OTHER	0.014980	0.000346	0.002748	0.981927	
_BSU21980	OTHER	0.009873	0.000218	0.022567	0.967342	
_BSU22030	OTHER	0.005128	0.000685	0.000699	0.993489	
_BSU22040	OTHER	0.054804	0.002040	0.033633	0.909523	
_BSU22060	OTHER	0.140550	0.004162	0.019729	0.835560	
_BSU22090	OTHER	0.200639	0.004043	0.153841	0.641477	
_BSU22320	OTHER	0.134677	0.002035	0.009720	0.853569	
_BSU22380	SP(Sec/SPI)	0.900247	0.005292	0.031247	0.063215	CS pos: 32-33. AMA-QK. Pr: 0.7270
_BSU22510	OTHER	0.038804	0.001053	0.042535	0.917608	
_BSU22520	SP(Sec/SPI)	0.969198	0.001192	0.004113	0.025497	CS pos: 22-23. AKA-AE. Pr: 0.9302
_BSU22530	OTHER	0.001840	0.000090	0.005833	0.992237	
_BSU22540	OTHER	0.007904	0.000258	0.003000	0.988838	
_BSU22550	OTHER	0.002481	0.000096	0.009157	0.988266	
_BSU22800	OTHER	0.049145	0.006502	0.001002	0.943351	
_BSU22820	OTHER	0.015703	0.000753	0.071892	0.911652	
_BSU22850	OTHER	0.004900	0.000139	0.001559	0.993402	
_BSU22860	OTHER	0.005806	0.000205	0.011567	0.982422	
_BSU22940	OTHER	0.001165	0.000098	0.001089	0.997647	
_BSU22990	OTHER	0.006040	0.000545	0.006409	0.987005	
_BSU23000	OTHER	0.011843	0.004962	0.007980	0.975215	
_BSU23010	OTHER	0.003468	0.000174	0.011773	0.984585	
