BSUB_gene	ident	ECOLI_gene
BSU09890	0.01	NaN
BSU09900	0.01	NaN
BSU09910	0.01	NaN
BSU09920	0.01	NaN
BSU09930	0.22	b2702
BSU09940	0.01	NaN
BSU09950	0.45	b3775
BSU09958	0.01	NaN
BSU09965	0.01	NaN
BSU09980	0.01	NaN
BSU09990	0.01	NaN
BSU10000	0.01	NaN
BSU10009	0.01	NaN
BSU10010	0.01	NaN
BSU10020	0.43	b0907
BSU10030	0.35	b1103
BSU10040	0.01	NaN
BSU10050	0.01	NaN
BSU10060	0.01	NaN
BSU10070	0.27	b1338
BSU10080	0.01	NaN
BSU10090	0.01	NaN
BSU10100	0.01	NaN
BSU10110	0.01	NaN
BSU10120	0.40	b3997
BSU10130	0.26	b0475
BSU10140	0.01	NaN
BSU10150	0.26	b1013
BSU10160	0.01	NaN
BSU10170	0.01	NaN
BSU10180	0.01	NaN
BSU10200	0.01	NaN
BSU10210	0.01	NaN
BSU10220	0.54	b4077
BSU10230	0.01	NaN
BSU10240	0.01	NaN
BSU10250	0.34	b4386
BSU10260	0.01	NaN
BSU10270	0.01	NaN
BSU10280	0.01	NaN
BSU10290	0.01	NaN
BSU10300	0.01	NaN
BSU10310	0.01	NaN
BSU10320	0.47	b3253
BSU10330	0.01	NaN
BSU10340	0.31	b4395
BSU10350	0.01	NaN
BSU10360	0.01	NaN
BSU10370	0.01	NaN
BSU10380	0.01	NaN
BSU10390	0.23	b1301
BSU10400	0.01	NaN
BSU10410	0.01	NaN
BSU10420	0.01	NaN
BSU10430	0.64	b3003
BSU10440	0.01	NaN
BSU10450	0.01	NaN
BSU10460	0.01	NaN
BSU10470	0.01	NaN
BSU10480	0.27	b1752
BSU10490	0.01	NaN
BSU10500	0.27	b0347
BSU10510	0.01	NaN
BSU10520	0.01	NaN
BSU10530	0.33	b1315
BSU10540	0.01	NaN
BSU10550	0.01	NaN
BSU10560	0.01	NaN
BSU10570	0.26	b0715
BSU10580	0.01	NaN
BSU10590	0.25	b0069
BSU10600	0.01	NaN
BSU10610	0.01	NaN
BSU10620	0.01	NaN
BSU10630	0.01	NaN
BSU10640	0.30	b0398
BSU10650	0.27	b0397
BSU10660	0.32	b1159
BSU10670	0.01	NaN
BSU10680	0.25	b0111
BSU10690	0.01	NaN
BSU10700	0.01	NaN
BSU10710	0.01	NaN
BSU10720	0.01	NaN
BSU10730	0.01	NaN
BSU10740	0.01	NaN
BSU10750	0.34	b1180
BSU10760	0.01	NaN
BSU10770	0.01	NaN
BSU10780	0.01	NaN
BSU10790	0.01	NaN
BSU10800	0.01	NaN
BSU10810	0.01	NaN
BSU10820	0.27	b1985
BSU10830	0.25	b0064
BSU10840	0.01	NaN
BSU10850	0.30	b4280
BSU10860	0.01	NaN
BSU10870	0.32	b2923
BSU10880	0.01	NaN
BSU10890	0.22	b4066
BSU10900	0.28	b0349
BSU10910	0.51	b2750
BSU10920	0.01	NaN
BSU10930	0.01	NaN
BSU10940	0.01	NaN
BSU10950	0.01	NaN
BSU10960	0.01	NaN
BSU10970	0.01	NaN
BSU10980	0.01	NaN
BSU10990	0.01	NaN
BSU11000	0.01	NaN
BSU11010	0.30	b4019
BSU11020	0.42	b0426
BSU11030	0.38	b4278
BSU11040	0.01	NaN
BSU11055	0.01	NaN
BSU11070	0.01	NaN
BSU11079	0.01	NaN
BSU11080	0.01	NaN
BSU11090	0.01	NaN
BSU11100	0.01	NaN
BSU11110	0.01	NaN
BSU11120	0.01	NaN
BSU11130	0.01	NaN
BSU11139	0.01	NaN
BSU11140	0.31	b0766
BSU11150	0.32	b4190
BSU11160	0.01	NaN
BSU11170	0.01	NaN
BSU11180	0.01	NaN
BSU11190	0.38	b3958
BSU11200	0.28	b0319
BSU11210	0.36	b3959
BSU11220	0.41	b3359
BSU11230	0.01	NaN
BSU11240	0.01	NaN
BSU11250	0.39	b4254
BSU11260	0.39	b4204
BSU11270	0.01	NaN
BSU11280	0.01	NaN
BSU11290	0.01	NaN
BSU11300	0.01	NaN
BSU11310	0.01	NaN
BSU11320	0.01	NaN
BSU11330	0.44	b1091
BSU11340	0.54	b1095
BSU11350	0.01	NaN
BSU11360	0.01	NaN
BSU11370	0.01	NaN
BSU11390	0.37	b3543
BSU11400	0.41	b0832
BSU11410	0.01	NaN
BSU11420	0.55	b3384
BSU11430	0.35	b1329
BSU11440	0.51	b1244
BSU11450	0.46	b1245
BSU11460	0.01	NaN
BSU11470	0.01	NaN
BSU11480	0.01	NaN
BSU11490	0.01	NaN
BSU11500	0.24	b2471
BSU11510	0.01	NaN
BSU11520	0.01	NaN
BSU11530	0.43	b2236
BSU11540	0.21	b3498
BSU11549	0.01	NaN
BSU11550	0.01	NaN
BSU11560	0.01	NaN
BSU11570	0.39	b4392
BSU11580	0.32	b3054
BSU11590	0.01	NaN
BSU11600	0.01	NaN
BSU11610	0.33	b2615
BSU11620	0.01	NaN
BSU11630	0.24	b0049
BSU11640	0.24	b0047
BSU11650	0.01	NaN
BSU11660	0.01	NaN
BSU11670	0.25	b1189
BSU11680	0.01	NaN
BSU11690	0.48	b3991
BSU11700	0.37	b3992
BSU11710	0.42	b2103
BSU11720	0.52	b1288
BSU11730	0.01	NaN
BSU11740	0.01	NaN
BSU11750	0.01	NaN
BSU11760	0.01	NaN
BSU11770	0.01	NaN
BSU11780	0.01	NaN
BSU11790	0.01	NaN
BSU11799	0.01	NaN
BSU11809	0.01	NaN
BSU11810	0.01	NaN
BSU11820	0.01	NaN
BSU11839	0.01	NaN
BSU11840	0.01	NaN
BSU11850	0.01	NaN
BSU11860	0.21	b3719
BSU11870	0.01	NaN
BSU11880	0.01	NaN
BSU11890	0.30	b1066
BSU11900	0.01	NaN
BSU11910	0.01	NaN
BSU11920	0.01	NaN
BSU11928	0.01	NaN
BSU11929	0.01	NaN
BSU11930	0.01	NaN
BSU11940	0.01	NaN
BSU11950	0.01	NaN
BSU11960	0.01	NaN
BSU11970	0.01	NaN
BSU11980	0.01	NaN
BSU11990	0.32	b2186
BSU12000	0.01	NaN
BSU12010	0.01	NaN
BSU12020	0.39	b1613
BSU12030	0.01	NaN
BSU12040	0.01	NaN
BSU12050	0.01	NaN
BSU12060	0.45	b0481
BSU12069	0.01	NaN
BSU12070	0.01	NaN
BSU12080	0.41	b0428
BSU12090	0.01	NaN
BSU12100	0.01	NaN
BSU12110	0.01	NaN
BSU12120	0.01	NaN
BSU12130	0.01	NaN
BSU12140	0.01	NaN
BSU12150	0.01	NaN
BSU12160	0.36	b4079
BSU12170	0.01	NaN
BSU12180	0.01	NaN
BSU12190	0.01	NaN
BSU12200	0.01	NaN
BSU12210	0.01	NaN
BSU12220	0.01	NaN
BSU12229	0.01	NaN
BSU12230	0.01	NaN
BSU12240	0.39	b0491
BSU12250	0.01	NaN
BSU12260	0.01	NaN
BSU12270	0.01	NaN
BSU12280	0.01	NaN
BSU12290	0.29	b1109
BSU12300	0.52	b3092
BSU12310	0.37	b3876
BSU12320	0.41	b0517
BSU12330	0.40	b1580
BSU12340	0.36	b4322
BSU12350	0.01	NaN
BSU12360	0.31	b4356
BSU12370	0.01	NaN
BSU12380	0.44	b1521
BSU12390	0.59	b3091
BSU12400	0.01	NaN
BSU12410	0.01	NaN
BSU12420	0.01	NaN
BSU12430	0.01	NaN
BSU12440	0.01	NaN
BSU12450	0.33	b1251
BSU12460	0.01	NaN
BSU12470	0.01	NaN
BSU12480	0.01	NaN
BSU12490	0.01	NaN
BSU12500	0.01	NaN
BSU12510	0.01	NaN
BSU12519	0.01	NaN
BSU12520	0.01	NaN
BSU12530	0.01	NaN
BSU12539	0.01	NaN
BSU12540	0.01	NaN
BSU12550	0.38	b1452
BSU12560	0.01	NaN
BSU12570	0.01	NaN
BSU12580	0.01	NaN
BSU12590	0.01	NaN
BSU12600	0.01	NaN
BSU12610	0.01	NaN
BSU12619	0.01	NaN
BSU12620	0.01	NaN
BSU12630	0.01	NaN
BSU12640	0.01	NaN
BSU12649	0.01	NaN
BSU12650	0.01	NaN
BSU12660	0.01	NaN
BSU12671	0.01	NaN
BSU12672	0.01	NaN
BSU12680	0.22	b4336
BSU12690	0.43	b2665
BSU12700	0.01	NaN
BSU12710	0.01	NaN
BSU12720	0.01	NaN
BSU12730	0.01	NaN
BSU12740	0.01	NaN
BSU12749	0.01	NaN
BSU12750	0.01	NaN
BSU12760	0.01	NaN
BSU12770	0.01	NaN
BSU12780	0.01	NaN
BSU12790	0.01	NaN
BSU12800	0.01	NaN
BSU12810	0.01	NaN
BSU12820	0.01	NaN
BSU12830	0.01	NaN
BSU12840	0.33	b2987
BSU12850	0.38	b0977
BSU12860	0.27	b3370
BSU12870	0.01	NaN
BSU12880	0.01	NaN
BSU12890	0.41	b2351
BSU12900	0.37	b3234
BSU12910	0.01	NaN
BSU12920	0.01	NaN
BSU12930	0.01	NaN
BSU12940	0.01	NaN
BSU12950	0.51	b1246
BSU12960	0.01	NaN
BSU12970	0.30	b1192
BSU12980	0.31	b1325
BSU12990	0.01	NaN
BSU13000	0.57	b1247
BSU13010	0.31	b0767
BSU13020	0.01	NaN
BSU13030	0.32	b1253
BSU13040	0.41	b2552
BSU13050	0.01	NaN
BSU13060	0.01	NaN
BSU13070	0.01	NaN
BSU13080	0.01	NaN
BSU13090	0.01	NaN
BSU13100	0.01	NaN
BSU13110	0.45	b1232
BSU13120	0.40	b0242
BSU13130	0.46	b0243
BSU13140	0.34	b1482
BSU13150	0.01	NaN
BSU13160	0.01	NaN
BSU13169	0.01	NaN
BSU13170	0.01	NaN
BSU13180	0.46	b3829
BSU13190	0.01	NaN
BSU13200	0.01	NaN
BSU13210	0.01	NaN
BSU13220	0.01	NaN
BSU13230	0.01	NaN
BSU13240	0.01	NaN
BSU13250	0.43	b1969
BSU13260	0.01	NaN
BSU13270	0.01	NaN
BSU13280	0.01	NaN
BSU13290	0.71	b3621
BSU13300	0.01	NaN
BSU13310	0.01	NaN
BSU13320	0.01	NaN
BSU13330	0.01	NaN
BSU13340	0.30	b2684
BSU13350	0.01	NaN
BSU13360	0.01	NaN
BSU13370	0.01	NaN
BSU13380	0.01	NaN
BSU13390	0.01	NaN
BSU13400	0.01	NaN
BSU13410	0.01	NaN
BSU13420	0.34	b1285
BSU13430	0.01	NaN
BSU13440	0.01	NaN
BSU13450	0.01	NaN
BSU13460	0.01	NaN
BSU13470	0.37	b0132
BSU13480	0.33	b0877
BSU13490	0.44	b1829
BSU13500	0.01	NaN
BSU13509	0.01	NaN
BSU13510	0.01	NaN
BSU13520	0.01	NaN
BSU13530	0.31	b2219
BSU13540	0.39	b1335
BSU13550	0.01	NaN
BSU13560	0.27	b3835
BSU13570	0.33	b0219
BSU13580	0.38	b2379
BSU13590	0.01	NaN
BSU13600	0.01	NaN
BSU13610	0.01	NaN
BSU13620	0.01	NaN
BSU13630	0.01	NaN
BSU13640	0.01	NaN
BSU13650	0.01	NaN
BSU13660	0.01	NaN
BSU13670	0.01	NaN
BSU13680	0.28	b1889
BSU13690	0.27	b1890
BSU13700	0.01	NaN
BSU13710	0.26	b3709
BSU13720	0.57	b0444
BSU13730	0.34	b2765
BSU13740	0.32	b2777
BSU13750	0.37	b2794
BSU13760	0.01	NaN
BSU13770	0.01	NaN
BSU13780	0.01	NaN
BSU13789	0.01	NaN
BSU13790	0.01	NaN
BSU13799	0.01	NaN
BSU13800	0.01	NaN
BSU13810	0.01	NaN
BSU13819	0.01	NaN
BSU13820	0.01	NaN
BSU13830	0.01	NaN
BSU13840	0.01	NaN
BSU13850	0.01	NaN
BSU13860	0.01	NaN
BSU13870	0.01	NaN
BSU13880	0.01	NaN
BSU13890	0.47	b1101
BSU13900	0.01	NaN
BSU13910	0.49	b2416
BSU13920	0.01	NaN
BSU13930	0.01	NaN
BSU13940	0.01	NaN
BSU13950	0.01	NaN
BSU13960	0.39	b3125
BSU13970	0.01	NaN
BSU13980	0.01	NaN
BSU13990	0.01	NaN
BSU14000	0.01	NaN
BSU14009	0.01	NaN
BSU14010	0.01	NaN
BSU14020	0.01	NaN
BSU14030	0.01	NaN
BSU14040	0.31	b1678
BSU14050	0.31	b0164
BSU14060	0.01	NaN
BSU14071	0.01	NaN
BSU14072	0.01	NaN
BSU14080	0.01	NaN
BSU14090	0.01	NaN
BSU14100	0.01	NaN
BSU14110	0.01	NaN
BSU14120	0.01	NaN
BSU14130	0.01	NaN
BSU14140	0.01	NaN
BSU14150	0.01	NaN
BSU14160	0.01	NaN
BSU14170	0.35	b0684
BSU14180	0.32	b0166
BSU14190	0.01	NaN
BSU14200	0.01	NaN
BSU14210	0.30	b0808
BSU14220	0.01	NaN
BSU14230	0.01	NaN
BSU14240	0.01	NaN
BSU14250	0.01	NaN
BSU14260	0.27	b3857
BSU14270	0.36	b0826
BSU14280	0.34	b0827
BSU14290	0.25	b3856
BSU14300	0.35	b0785
BSU14310	0.35	b0784
BSU14320	0.01	NaN
BSU14330	0.01	NaN
BSU14340	0.01	NaN
BSU14350	0.22	b0878
BSU14360	0.01	NaN
BSU14370	0.01	NaN
BSU14380	0.01	NaN
BSU14390	0.30	b2168
BSU14400	0.45	b2167
BSU14410	0.25	b2568
BSU14420	0.01	NaN
BSU14430	0.46	b0820
BSU14440	0.01	NaN
BSU14450	0.01	NaN
BSU14460	0.01	NaN
BSU14470	0.01	NaN
BSU14480	0.01	NaN
BSU14490	0.01	NaN
BSU14500	0.27	b4222
BSU14510	0.01	NaN
BSU14520	0.36	b3665
BSU14530	0.01	NaN
BSU14540	0.01	NaN
BSU14550	0.01	NaN
BSU14560	0.01	NaN
BSU14569	0.01	NaN
BSU14570	0.35	b1105
BSU14580	0.01	NaN
BSU14590	0.01	NaN
BSU14600	0.35	b0115
BSU14610	0.47	b0116
BSU14620	0.01	NaN
BSU14629	0.01	NaN
BSU14630	0.25	b0186
BSU14640	0.01	NaN
BSU14650	0.01	NaN
BSU14660	0.01	NaN
BSU14670	0.34	b2533
BSU14680	0.01	NaN
BSU14690	0.01	NaN
BSU14700	0.01	NaN
BSU14710	0.01	NaN
BSU14720	0.01	NaN
BSU14730	0.01	NaN
BSU14740	0.01	NaN
BSU14750	0.25	b1424
BSU14760	0.01	NaN
BSU14770	0.55	b3871
BSU14780	0.01	NaN
BSU14790	0.01	NaN
BSU14800	0.01	NaN
BSU14810	0.01	NaN
BSU14820	0.01	NaN
BSU14830	0.39	b1524
BSU14840	0.01	NaN
BSU14850	0.01	NaN
BSU14860	0.01	NaN
BSU14870	0.01	NaN
BSU14880	0.01	NaN
BSU14890	0.01	NaN
BSU14900	0.01	NaN
BSU14910	0.01	NaN
BSU14920	0.01	NaN
BSU14930	0.32	b4326
BSU14940	0.01	NaN
BSU14950	0.01	NaN
BSU14960	0.01	NaN
BSU14970	0.01	NaN
BSU14980	0.01	NaN
BSU14990	0.01	NaN
BSU15000	0.01	NaN
BSU15010	0.31	b3465
BSU15020	0.43	b3634
BSU15030	0.27	b4330
BSU15040	0.32	b1234
BSU15050	0.01	NaN
BSU15060	0.01	NaN
BSU15069	0.01	NaN
BSU15070	0.01	NaN
BSU15080	0.31	b1089
BSU15090	0.01	NaN
BSU15100	0.01	NaN
BSU15110	0.28	b0425
BSU15120	0.01	NaN
BSU15130	0.38	b0081
BSU15140	0.46	b0082
BSU15150	0.01	NaN
BSU15160	0.01	NaN
BSU15170	0.29	b0084
BSU15180	0.38	b0085
BSU15190	0.47	b0087
BSU15200	0.33	b0088
BSU15210	0.39	b0089
BSU15220	0.31	b0090
BSU15230	0.27	b3972
BSU15240	0.01	NaN
BSU15250	0.01	NaN
BSU15260	0.24	b1433
BSU15270	0.01	NaN
BSU15280	0.36	b0094
BSU15290	0.47	b0095
BSU15300	0.01	NaN
BSU15310	0.01	NaN
BSU15320	0.01	NaN
BSU15330	0.01	NaN
BSU15340	0.34	b0760
BSU15350	0.01	NaN
BSU15360	0.01	NaN
BSU15370	0.33	b2593
BSU15380	0.33	b2951
BSU15390	0.28	b0148
BSU15400	0.25	b2952
BSU15410	0.01	NaN
BSU15420	0.01	NaN
BSU15430	0.45	b0026
BSU15440	0.01	NaN
BSU15450	0.33	b0027
BSU15460	0.42	b2594
BSU15470	0.01	NaN
BSU15480	0.43	b2497
BSU15490	0.34	b4245
BSU15500	0.01	NaN
BSU15510	0.47	b0032
BSU15520	0.50	b0033
BSU15530	0.01	NaN
BSU15540	0.30	b2147
BSU15550	0.42	b1281
BSU15560	0.34	b3642
BSU15570	0.33	b2762
BSU15580	0.01	NaN
BSU15590	0.22	b4481
BSU15600	0.01	NaN
BSU15610	0.47	b3368
BSU15620	0.01	NaN
BSU15630	0.01	NaN
BSU15640	0.27	b0119
BSU15650	0.28	b4242
BSU15660	0.30	b3644
BSU15670	0.01	NaN
BSU15680	0.43	b3648
BSU15690	0.35	b3649
BSU15700	0.41	b3639
BSU15710	0.38	b3935
BSU15720	0.48	b3287
BSU15730	0.46	b3288
BSU15740	0.34	b3289
BSU15750	0.38	b2517
BSU15760	0.01	NaN
BSU15770	0.01	NaN
BSU15780	0.38	b4161
BSU15790	0.52	b3386
BSU15800	0.01	NaN
BSU15810	0.01	NaN
BSU15820	0.44	b3637
BSU15830	0.01	NaN
BSU15840	0.01	NaN
BSU15850	0.01	NaN
BSU15860	0.37	b4471
BSU15870	0.39	b3652
BSU15880	0.01	NaN
BSU15890	0.37	b1090
BSU15900	0.44	b1092
BSU15910	0.51	b1093
BSU15920	0.61	b1094
BSU15930	0.36	b2567
BSU15940	0.01	NaN
BSU15950	0.50	b3464
BSU15960	0.01	NaN
BSU15970	0.01	NaN
BSU15980	0.54	b2610
BSU15990	0.51	b2609
BSU16000	0.01	NaN
BSU16010	0.01	NaN
BSU16020	0.30	b2608
BSU16030	0.46	b2607
BSU16040	0.58	b2606
BSU16050	0.01	NaN
BSU16060	0.48	b0183
BSU16070	0.01	NaN
BSU16080	0.01	NaN
BSU16090	0.54	b0728
BSU16100	0.64	b0729
BSU16110	0.42	b4473
BSU16120	0.40	b1274
BSU16130	0.01	NaN
BSU16140	0.01	NaN
BSU16150	0.54	b3932
BSU16160	0.51	b3931
BSU16170	0.01	NaN
BSU16180	0.28	b1073
BSU16190	0.39	b1074
BSU16200	0.36	b1937
BSU16210	0.27	b1938
BSU16220	0.33	b1939
BSU16230	0.01	NaN
BSU16240	0.49	b1941
BSU16250	0.26	b1942
BSU16260	0.01	NaN
BSU16270	0.01	NaN
BSU16280	0.41	b1075
BSU16290	0.39	b1078
BSU16299	0.01	NaN
BSU16300	0.21	b1944
BSU16310	0.29	b1945
BSU16320	0.43	b1946
BSU16330	0.01	NaN
BSU16340	0.01	NaN
BSU16350	0.54	b1948
BSU16360	0.51	b1949
BSU16370	0.28	b1950
BSU16380	0.39	b1880
BSU16390	0.45	b1879
BSU16400	0.01	NaN
BSU16410	0.01	NaN
BSU16420	0.42	b1883
BSU16430	0.35	b1888
BSU16440	0.28	b1887
BSU16450	0.01	NaN
BSU16460	0.01	NaN
BSU16470	0.39	b1922
BSU16480	0.01	NaN
BSU16490	0.53	b0169
BSU16500	0.50	b0170
BSU16510	0.49	b0171
BSU16520	0.51	b0172
BSU16530	0.50	b0174
BSU16540	0.37	b0175
BSU16550	0.41	b0173
BSU16560	0.36	b0176
BSU16570	0.50	b0194
BSU16580	0.01	NaN
BSU16590	0.37	b3170
BSU16600	0.40	b3169
BSU16610	0.01	NaN
BSU16620	0.01	NaN
BSU16630	0.56	b3168
BSU16640	0.01	NaN
BSU16650	0.43	b3167
BSU16660	0.41	b3166
BSU16670	0.35	b0025
BSU16680	0.56	b3165
BSU16690	0.52	b3164
BSU16700	0.01	NaN
BSU16710	0.27	b1494
BSU16720	0.01	NaN
BSU16730	0.01	NaN
BSU16740	0.01	NaN
BSU16750	0.33	b2319
BSU16760	0.01	NaN
BSU16770	0.46	b2478
BSU16780	0.01	NaN
BSU16790	0.01	NaN
BSU16799	0.01	NaN
BSU16800	0.01	NaN
BSU16810	0.26	b2101
BSU16825	0.01	NaN
BSU16845	0.01	NaN
BSU16860	0.01	NaN
BSU16870	0.01	NaN
BSU16880	0.01	NaN
BSU16910	0.01	NaN
BSU16920	0.37	b1912
BSU16930	0.28	b2249
BSU16940	0.62	b2699
BSU16950	0.25	b0376
BSU16960	0.01	NaN
BSU16970	0.01	NaN
BSU16980	0.01	NaN
BSU16990	0.48	b3616
BSU17000	0.41	b3617
BSU17010	0.44	b0661
BSU17020	0.01	NaN
BSU17030	0.01	NaN
BSU17040	0.39	b2733
BSU17050	0.31	b4170
BSU17060	0.50	b1336
BSU17070	0.01	NaN
BSU17080	0.29	b0313
BSU17090	0.01	NaN
BSU17100	0.01	NaN
BSU17110	0.01	NaN
BSU17120	0.01	NaN
BSU17130	0.01	NaN
BSU17140	0.01	NaN
BSU17150	0.01	NaN
BSU17160	0.01	NaN
BSU17170	0.01	NaN
BSU17180	0.01	NaN
BSU17190	0.01	NaN
BSU17200	0.01	NaN
BSU17210	0.01	NaN
BSU17220	0.01	NaN
BSU17230	0.01	NaN
BSU17240	0.01	NaN
BSU17250	0.01	NaN
BSU17260	0.01	NaN
BSU17270	0.01	NaN
BSU17280	0.01	NaN
BSU17290	0.39	b0543
BSU17300	0.01	NaN
BSU17310	0.01	NaN
BSU17320	0.01	NaN
BSU17330	0.37	b4171
BSU17340	0.45	b4172
BSU17350	0.01	NaN
BSU17360	0.01	NaN
BSU17370	0.36	b2674
BSU17380	0.44	b2675
BSU17390	0.44	b2676
BSU17400	0.01	NaN
BSU17410	0.01	NaN
BSU17420	0.01	NaN
BSU17430	0.41	b4173
BSU17440	0.01	NaN
BSU17450	0.35	b2127
BSU17460	0.42	b3870
BSU17470	0.01	NaN
BSU17480	0.01	NaN
BSU17490	0.01	NaN
BSU17500	0.01	NaN
BSU17510	0.01	NaN
BSU17520	0.01	NaN
BSU17530	0.01	NaN
BSU17540	0.01	NaN
BSU17550	0.01	NaN
BSU17559	0.01	NaN
BSU17560	0.01	NaN
BSU17570	0.37	b1616
BSU17580	0.54	b0271
BSU17590	0.25	b0676
BSU17600	0.51	b3565
BSU17610	0.36	b3564
BSU17620	0.01	NaN
BSU17630	0.01	NaN
BSU17640	0.32	b4053
BSU17650	0.01	NaN
BSU17660	0.29	b3640
BSU17670	0.01	NaN
BSU17680	0.01	NaN
BSU17690	0.01	NaN
BSU17699	0.01	NaN
BSU17700	0.01	NaN
BSU17710	0.01	NaN
BSU17720	0.01	NaN
BSU17730	0.01	NaN
BSU17740	0.01	NaN
BSU17750	0.01	NaN
BSU17760	0.01	NaN
BSU17770	0.01	NaN
BSU17780	0.01	NaN
BSU17790	0.01	NaN
BSU17800	0.01	NaN
BSU17810	0.01	NaN
BSU17820	0.01	NaN
BSU17830	0.01	NaN
BSU17840	0.01	NaN
BSU17850	0.33	b4043
BSU17860	0.01	NaN
BSU17870	0.26	b4138
BSU17880	0.01	NaN
BSU17890	0.49	b2935
BSU17900	0.01	NaN
BSU17910	0.45	b4554
BSU17920	0.01	NaN
BSU17930	0.26	b4136
BSU17940	0.01	NaN
BSU17950	0.01	NaN
BSU17960	0.01	NaN
BSU17970	0.01	NaN
BSU17980	0.01	NaN
BSU17990	0.01	NaN
BSU18000	0.57	b1276
BSU18010	0.30	b2195
BSU18019	0.01	NaN
BSU18020	0.01	NaN
BSU18030	0.01	NaN
BSU18040	0.27	b0736
BSU18050	0.01	NaN
BSU18060	0.01	NaN
BSU18070	0.32	b3059
BSU18080	0.40	b0965
BSU18090	0.01	NaN
BSU18100	0.01	NaN
BSU18110	0.01	NaN
BSU18120	0.43	b0007
BSU18130	0.24	b1617
BSU18140	0.01	NaN
BSU18150	0.01	NaN
BSU18160	0.01	NaN
BSU18170	0.01	NaN
BSU18180	0.01	NaN
BSU18190	0.01	NaN
BSU18200	0.01	NaN
BSU18210	0.01	NaN
BSU18220	0.39	b1393
BSU18230	0.01	NaN
BSU18239	0.01	NaN
BSU18240	0.01	NaN
BSU18250	0.31	b1701
BSU18260	0.35	b1695
BSU18270	0.01	NaN
BSU18280	0.42	b1491
BSU18290	0.01	NaN
BSU18300	0.01	NaN
BSU18310	0.01	NaN
BSU18320	0.01	NaN
BSU18330	0.01	NaN
BSU18340	0.01	NaN
BSU18350	0.28	b3182
BSU18360	0.25	b3879
BSU18370	0.01	NaN
BSU18380	0.28	b2520
BSU18390	0.01	NaN
BSU18400	0.01	NaN
BSU18410	0.41	b3447
BSU18420	0.01	NaN
BSU18430	0.31	b4051
BSU18440	0.38	b3213
BSU18450	0.44	b3212
BSU18460	0.01	NaN
BSU18470	0.01	NaN
BSU18480	0.01	NaN
BSU18490	0.34	b0754
BSU18500	0.01	NaN
BSU18510	0.01	NaN
BSU18520	0.01	NaN
BSU18530	0.01	NaN
BSU18540	0.01	NaN
BSU18550	0.01	NaN
BSU18560	0.01	NaN
BSU18570	0.31	b0894
BSU18580	0.01	NaN
BSU18590	0.25	b0488
BSU18600	0.01	NaN
BSU18610	0.01	NaN
BSU18620	0.28	b1067
BSU18630	0.01	NaN
BSU18640	0.01	NaN
BSU18650	0.01	NaN
BSU18660	0.01	NaN
BSU18669	0.01	NaN
BSU18670	0.01	NaN
BSU18680	0.32	b0034
BSU18690	0.01	NaN
BSU18700	0.27	b4193
BSU18709	0.01	NaN
BSU18710	0.32	b1564
BSU18720	0.01	NaN
BSU18730	0.01	NaN
BSU18740	0.01	NaN
BSU18750	0.01	NaN
BSU18760	0.01	NaN
BSU18770	0.27	b3943
BSU18780	0.01	NaN
BSU18790	0.01	NaN
BSU18800	0.01	NaN
BSU18810	0.33	b2123
BSU18820	0.01	NaN
BSU18830	0.36	b1702
BSU18840	0.01	NaN
BSU18849	0.01	NaN
BSU18850	0.01	NaN
BSU18860	0.01	NaN
BSU18870	0.01	NaN
BSU18880	0.01	NaN
BSU18890	0.01	NaN
BSU18898	0.01	NaN
BSU18899	0.01	NaN
BSU18900	0.01	NaN
BSU18908	0.31	b4216
BSU18910	0.01	NaN
BSU18920	0.39	b0806
BSU18930	0.01	NaN
BSU18940	0.01	NaN
BSU18950	0.01	NaN
BSU18960	0.01	NaN
BSU18970	0.01	NaN
BSU18980	0.01	NaN
BSU18990	0.01	NaN
BSU19000	0.28	b1502
BSU19010	0.01	NaN
BSU19020	0.38	b1667
BSU19030	0.25	b3724
BSU19040	0.01	NaN
BSU19050	0.01	NaN
BSU19060	0.01	NaN
BSU19070	0.01	NaN
BSU19080	0.01	NaN
BSU19090	0.01	NaN
BSU19100	0.01	NaN
BSU19110	0.01	NaN
BSU19120	0.01	NaN
BSU19130	0.01	NaN
BSU19140	0.01	NaN
BSU19150	0.01	NaN
BSU19160	0.01	NaN
BSU19170	0.01	NaN
BSU19180	0.01	NaN
BSU19190	0.01	NaN
BSU19200	0.01	NaN
BSU19210	0.34	b0211
BSU19220	0.40	b3822
BSU19230	0.33	b1412
BSU19240	0.01	NaN
BSU19250	0.01	NaN
BSU19259	0.01	NaN
BSU19260	0.22	b3687
BSU19270	0.01	NaN
BSU19280	0.01	NaN
BSU19290	0.01	NaN
BSU19300	0.01	NaN
BSU19310	0.44	b1385
BSU19320	0.01	NaN
BSU19330	0.01	NaN
BSU19340	0.01	NaN
BSU19350	0.01	NaN
BSU19360	0.45	b0727
BSU19370	0.40	b0726
BSU19380	0.01	NaN
BSU19390	0.26	b2119
BSU19400	0.34	b1646
BSU19410	0.01	NaN
BSU19420	0.01	NaN
BSU19430	0.01	NaN
BSU19440	0.35	b1663
BSU19450	0.01	NaN
BSU19460	0.01	NaN
BSU19470	0.01	NaN
BSU19479	0.01	NaN
BSU19480	0.39	b3819
BSU19490	0.01	NaN
BSU19510	0.01	NaN
BSU19520	0.01	NaN
BSU19530	0.01	NaN
BSU19540	0.01	NaN
BSU19550	0.01	NaN
