,base,cbl1_s,3amp_s,pser__L_s,so4_s,acnam_s,gmp_s,asp__L_s,man6p_c,pi_c,leu__L_s,f6p_s,pep_s,adn_c,6pgc_s,pyr_c,arg__L_s,zn2_s,mg2_s,k_s,mn2_s,met__L_c
translation_BSU15700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15720,4.984794034810299e-10,5.88735238341753e-11,5.751661977734175e-11,5.864576609275454e-11,5.887105195460148e-11,5.749128573708912e-11,5.876664466819976e-11,5.88735238341753e-11,5.88735238341753e-11,5.887730573873382e-11,5.886162078792228e-11,5.887359676151065e-11,2.5213601289614344e-11,5.751691298640314e-11,5.887359708091163e-11,3.241779981200686e-12,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15720,1.3471096892175231e-11,4.3595785837543286e-12,4.2670531663655974e-12,4.348968519797468e-12,4.359483846706046e-12,4.300029634424183e-12,4.35563475103743e-12,4.3595785837543286e-12,4.3595785837543286e-12,4.3598586334107e-12,4.359315285078546e-12,4.359583984016256e-12,2.350582129515315e-12,4.267074919011331e-12,4.359584007667868e-12,7.382297036643405e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15730,4.984794034810299e-10,5.88735238341753e-11,5.751661977734175e-11,5.864576609275454e-11,5.887105195460148e-11,5.749128573708912e-11,5.876664466819976e-11,5.88735238341753e-11,5.88735238341753e-11,5.887730573873382e-11,5.886162078792228e-11,5.887359676151065e-11,2.5213601289614344e-11,5.751691298640314e-11,5.887359708091163e-11,3.241779981200686e-12,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15730,1.3471096892175231e-11,4.3595785837543286e-12,4.2670531663655974e-12,4.348968519797468e-12,4.359483846706046e-12,4.300029634424183e-12,4.35563475103743e-12,4.3595785837543286e-12,4.3595785837543286e-12,4.3598586334107e-12,4.359315285078546e-12,4.359583984016256e-12,2.350582129515315e-12,4.267074919011331e-12,4.359584007667868e-12,7.382297036643405e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15750,1.325642276580214e-12,9.833013192466918e-14,9.411484427835038e-14,9.7925735869917e-14,9.832588575946882e-14,9.587456376075903e-14,9.814458396288302e-14,9.833013192466918e-14,9.833013192466918e-14,9.834113643390249e-14,9.830988947789287e-14,9.833026874148895e-14,4.0810997591271414e-14,9.411564939573396e-14,9.833027015866435e-14,5.2411617406626974e-15,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15750,3.582466081340393e-14,7.281336488095242e-15,6.982208722184762e-15,7.261836121344249e-15,7.281169546826216e-15,7.170886162540507e-15,7.274227803006869e-15,7.281336488095242e-15,7.281336488095242e-15,7.282151370909348e-15,7.280869913852206e-15,7.281346619367137e-15,3.804676710948436e-15,6.982268452375691e-15,7.281346724308834e-15,1.1935360515223e-15,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15790,3.1635102771253107e-07,2.096212196528614e-09,2.0894668868700406e-09,2.0872746926643826e-09,2.0961282324167683e-09,2.0482769503323597e-09,2.0927323902177447e-09,2.096212196528614e-09,2.096212196528614e-09,2.096308895683584e-09,2.0960512247831517e-09,2.096218489011327e-09,1.0297702343450932e-09,2.089487193277415e-09,2.0962182289709123e-09,8.294327888335717e-08,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15790,8.549190430927999e-09,1.5522430464211364e-10,1.550137391618277e-10,1.5478511980234534e-10,1.5522123125797393e-10,1.5319976711279378e-10,1.5510802045818528e-10,1.5522430464211364e-10,1.5522430464211364e-10,1.5523146520492048e-10,1.552343958625699e-10,1.5522477059983261e-10,9.600213323573969e-11,1.5501524565717149e-10,1.552247513438658e-10,1.8888139400605094e-08,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15820,2.754575867304573e-06,6.668144799861762e-07,6.395298837745827e-07,6.651162300760402e-07,6.66800428194228e-07,6.572980244926014e-07,6.662190683993592e-07,6.668144799861762e-07,6.668144799861762e-07,6.668891057998336e-07,6.667804066856668e-07,6.668154077937032e-07,3.549836657639468e-07,6.39535354714164e-07,6.668154174041152e-07,1.1604047866258653e-07,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1261471540810171e-34,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.915632363126376e-35,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15980,2.5866366316110753e-07,1.4068523168122298e-08,1.2722013776368256e-08,1.403856816411147e-08,1.4067973003604623e-08,1.3806102079304081e-08,1.4043851028026135e-08,1.4068523168122298e-08,1.4068523168122298e-08,1.4071516546629428e-08,1.4063786600782898e-08,1.4068523409397723e-08,5.578750809718932e-09,1.2722236900005478e-08,1.4068523879802121e-08,7.779370457087646e-10,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15990,2.754575867304573e-06,6.668144799861762e-07,6.395298837745827e-07,6.651162300760402e-07,6.66800428194228e-07,6.572980244926014e-07,6.662190683993592e-07,6.668144799861762e-07,6.668144799861762e-07,6.668891057998336e-07,6.667804066856668e-07,6.668154077937032e-07,3.549836657639468e-07,6.39535354714164e-07,6.668154174041152e-07,1.1604047866258653e-07,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16020,1.325642276580214e-12,9.833013192466918e-14,9.411484427835038e-14,9.7925735869917e-14,9.832588575946882e-14,9.587456376075903e-14,9.814458396288302e-14,9.833013192466918e-14,9.833013192466918e-14,9.834113643390249e-14,9.830988947789287e-14,9.833026874148895e-14,4.0810997591271414e-14,9.411564939573396e-14,9.833027015866435e-14,5.2411617406626974e-15,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16020,3.582466081340393e-14,7.281336488095242e-15,6.982208722184762e-15,7.261836121344249e-15,7.281169546826216e-15,7.170886162540507e-15,7.274227803006869e-15,7.281336488095242e-15,7.281336488095242e-15,7.282151370909348e-15,7.280869913852206e-15,7.281346619367137e-15,3.804676710948436e-15,6.982268452375691e-15,7.281346724308834e-15,1.1935360515223e-15,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16040,2.754575867304573e-06,6.668144799861762e-07,6.395298837745827e-07,6.651162300760402e-07,6.66800428194228e-07,6.572980244926014e-07,6.662190683993592e-07,6.668144799861762e-07,6.668144799861762e-07,6.668891057998336e-07,6.667804066856668e-07,6.668154077937032e-07,3.549836657639468e-07,6.39535354714164e-07,6.668154174041152e-07,1.1604047866258653e-07,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16040,7.4440705365512e-08,4.93775459147482e-08,4.744555619071323e-08,4.932273443290281e-08,4.937750556811991e-08,4.916225037811729e-08,4.937846873014138e-08,4.93775459147482e-08,4.93775459147482e-08,4.938307194882647e-08,4.938202481933931e-08,4.937761461880328e-08,3.3093973821116684e-08,4.744596206974704e-08,4.937761533045333e-08,2.6425151821815246e-08,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16090,4.329932611762884e-07,3.98821987554056e-07,3.9826342098921895e-07,3.984008237599797e-07,3.988135100918693e-07,3.985718827023993e-07,3.985165053719988e-07,3.98821987554056e-07,3.98821987554056e-07,3.988218068115139e-07,3.986694487444136e-07,3.9882199712801305e-07,3.3448700827312564e-07,3.982637101353087e-07,3.988219968975586e-07,1.0319072423060761e-07,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16100,4.329932611762884e-07,3.98821987554056e-07,3.9826342098921895e-07,3.984008237599797e-07,3.988135100918693e-07,3.985718827023993e-07,3.985165053719988e-07,3.98821987554056e-07,3.98821987554056e-07,3.988218068115139e-07,3.986694487444136e-07,3.9882199712801305e-07,3.3448700827312564e-07,3.982637101353087e-07,3.988219968975586e-07,1.0319072423060761e-07,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16490,2.754575867304573e-06,6.668144799861762e-07,6.395298837745827e-07,6.651162300760402e-07,6.66800428194228e-07,6.572980244926014e-07,6.662190683993592e-07,6.668144799861762e-07,6.668144799861762e-07,6.668891057998336e-07,6.667804066856668e-07,6.668154077937032e-07,3.549836657639468e-07,6.39535354714164e-07,6.668154174041152e-07,1.1604047866258653e-07,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16490,7.4440705365512e-08,4.93775459147482e-08,4.744555619071323e-08,4.932273443290281e-08,4.937750556811991e-08,4.916225037811729e-08,4.937846873014138e-08,4.93775459147482e-08,4.93775459147482e-08,4.938307194882647e-08,4.938202481933931e-08,4.937761461880328e-08,3.3093973821116684e-08,4.744596206974704e-08,4.937761533045333e-08,2.6425151821815246e-08,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16500,1.82923706671298e-07,1.6041051548404435e-08,1.535476453610119e-08,1.597710519373237e-08,1.6040387613642033e-08,1.5654191178194315e-08,1.601207319756963e-08,1.6041051548404435e-08,1.6041051548404435e-08,1.60428495720161e-08,1.6037950882943606e-08,1.6041073876957742e-08,6.7783528283236844e-09,1.535489608920792e-08,1.6041074108677264e-08,9.060016067690216e-10,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16500,4.943399785902435e-09,1.1878382715513363e-09,1.1391419886322968e-09,1.1848072274328971e-09,1.1878131675055021e-09,1.1708467658386618e-09,1.1867742807039827e-09,1.1878382715513363e-09,1.1878382715513363e-09,1.1879714150209301e-09,1.1877770861467794e-09,1.1878399249784876e-09,6.319238113902511e-10,1.1391517483174589e-09,1.187839942137295e-09,2.0631791841616229e-10,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16520,4.984794034810299e-10,5.88735238341753e-11,5.751661977734175e-11,5.864576609275454e-11,5.887105195460148e-11,5.749128573708912e-11,5.876664466819976e-11,5.88735238341753e-11,5.88735238341753e-11,5.887730573873382e-11,5.886162078792228e-11,5.887359676151065e-11,2.5213601289614344e-11,5.751691298640314e-11,5.887359708091163e-11,3.241779981200686e-12,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16520,1.3471096892175231e-11,4.3595785837543286e-12,4.2670531663655974e-12,4.348968519797468e-12,4.359483846706046e-12,4.300029634424183e-12,4.35563475103743e-12,4.3595785837543286e-12,4.3595785837543286e-12,4.3598586334107e-12,4.359315285078546e-12,4.359583984016256e-12,2.350582129515315e-12,4.267074919011331e-12,4.359584007667868e-12,7.382297036643405e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16570,7.848392881467602e-09,7.054477766977111e-10,6.759586978008527e-10,7.02909423080941e-10,7.05418840906867e-10,6.894737379076139e-10,7.041838741557929e-10,7.054477766977111e-10,7.054477766977111e-10,7.055244567572917e-10,7.052816370835961e-10,7.054486905165241e-10,2.9756669952276075e-10,6.759643797544274e-10,7.054487009490519e-10,3.959079216938872e-11,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16570,2.1209795272540677e-10,5.2238337693372214e-11,5.014814349225306e-11,5.212534777724873e-11,5.2237253114944885e-11,5.156881546740761e-11,5.219232390602808e-11,5.2238337693372214e-11,5.2238337693372214e-11,5.2244015844156766e-11,5.223344141170169e-11,5.2238405361564415e-11,2.774117660554763e-11,5.014856502603037e-11,5.223840613409206e-11,9.015756448782574e-12,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16600,2.5596910065910298e-11,3.665814562612359e-12,3.529782879529671e-12,3.6530320475325685e-12,3.665710801897396e-12,3.5955484378559428e-12,3.661358180959002e-12,3.665814562612359e-12,3.665814562612359e-12,3.6662152627951865e-12,3.665694225342635e-12,3.665821384801523e-12,1.828096900422136e-12,3.529811872262506e-12,3.665821425366299e-12,5.034598545885547e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16630,9.969588069620608e-10,1.1774704766835076e-10,1.1503323955468365e-10,1.1729153218550923e-10,1.1774210390920312e-10,1.1498257147417836e-10,1.1753328933639968e-10,1.1774704766835076e-10,1.1774704766835076e-10,1.177546114774678e-10,1.1772324157584466e-10,1.1774719352302145e-10,5.042720257922875e-11,1.1503382597280643e-10,1.1774719416182341e-10,6.483559962401379e-12,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16650,1.325642276580214e-12,9.833013192466918e-14,9.411484427835038e-14,9.7925735869917e-14,9.832588575946882e-14,9.587456376075903e-14,9.814458396288302e-14,9.833013192466918e-14,9.833013192466918e-14,9.834113643390249e-14,9.830988947789287e-14,9.833026874148895e-14,4.0810997591271414e-14,9.411564939573396e-14,9.833027015866435e-14,5.2411617406626974e-15,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16670,5.713665851079803e-20,6.103296585572633e-22,5.93506673736845e-22,4.891440538585139e-22,6.100659396134463e-22,1.8430827392531608e-22,6.079289962419872e-22,6.103296585572633e-22,6.103296585572633e-22,6.103544792578732e-22,6.25204979620647e-22,6.103298340176307e-22,2.2355972367987813e-22,5.935051688614096e-22,6.103298356233378e-22,4.993266780599558e-24,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16670,1.5440827795874625e-21,4.519485050649863e-23,4.403117814001976e-23,3.627324244536743e-23,4.5176237231522534e-23,1.378523770320111e-23,4.505815632567096e-23,4.519485050649863e-23,4.519485050649863e-23,4.519668847690987e-23,4.630293198665609e-23,4.5194863499321384e-23,2.0841746695572543e-23,4.403106649605465e-23,4.5194863618223836e-23,1.1370845267524067e-24,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16680,2.754575867304573e-06,6.668144799861762e-07,6.395298837745827e-07,6.651162300760402e-07,6.66800428194228e-07,6.572980244926014e-07,6.662190683993592e-07,6.668144799861762e-07,6.668144799861762e-07,6.668891057998336e-07,6.667804066856668e-07,6.668154077937032e-07,3.549836657639468e-07,6.39535354714164e-07,6.668154174041152e-07,1.1604047866258653e-07,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16680,7.4440705365512e-08,4.93775459147482e-08,4.744555619071323e-08,4.932273443290281e-08,4.937750556811991e-08,4.916225037811729e-08,4.937846873014138e-08,4.93775459147482e-08,4.93775459147482e-08,4.938307194882647e-08,4.938202481933931e-08,4.937761461880328e-08,3.3093973821116684e-08,4.744596206974704e-08,4.937761533045333e-08,2.6425151821815246e-08,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16690,1.3619041988885935e-11,4.39304800762933e-12,4.2988524231722804e-12,4.382363997755146e-12,4.392952726109665e-12,4.333092548395505e-12,4.389081315004178e-12,4.39304800762933e-12,4.39304800762933e-12,4.3933325214732905e-12,4.392784053196981e-12,4.393053458705079e-12,2.369113148497318e-12,4.298874499906448e-12,4.393053482688171e-12,7.449074573656575e-13,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16690,3.6804616786512267e-13,3.253047679872027e-13,3.1892402430891743e-13,3.2498105725803706e-13,3.2530430174046666e-13,3.2409131449956447e-13,3.253075823657858e-13,3.253047679872027e-13,3.253047679872027e-13,3.253258362090474e-13,3.2533135192023376e-13,3.253051716388198e-13,2.2086472161164e-13,3.1892566214157867e-13,3.253051734147653e-13,1.6963298394628582e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16750,1.0394876168971914e-07,1.0441347606752622e-08,1.0097138261498834e-08,1.0398548477256326e-08,1.0465850117878579e-08,1.0191460991568128e-08,1.0422591246734966e-08,1.0441347606752622e-08,1.0441347606752622e-08,1.0442356553278847e-08,1.0439640526856788e-08,1.0441362886012332e-08,4.410684979761743e-09,1.0097263237793107e-08,1.0441363092961921e-08,6.015750109073021e-10,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16760,3.4056748875093763e-08,3.420900331859413e-09,3.30812697081871e-09,3.4068780464407675e-09,3.4289280933705774e-09,3.3390299414646886e-09,3.4147551827248917e-09,3.420900331859413e-09,3.420900331859413e-09,3.421230893165902e-09,3.4203410410090262e-09,3.420905337805636e-09,1.445073402329431e-09,3.3081679168213393e-09,3.4209054056085614e-09,1.9709411389773269e-10,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16770,4.1715963764860745e-08,3.326488022532179e-09,3.1611046716337434e-09,3.312517590822089e-09,3.3263504636035025e-09,3.2442538325892103e-09,3.3204569937225427e-09,3.326488022532179e-09,3.326488022532179e-09,3.3269224597602977e-09,3.3259311721742727e-09,3.326492289046124e-09,1.4057002885926035e-09,3.161135864985154e-09,3.326492316961412e-09,1.9110257001220437e-10,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16780,1.3619041988885935e-11,4.39304800762933e-12,4.2988524231722804e-12,4.382363997755146e-12,4.392952726109665e-12,4.333092548395505e-12,4.389081315004178e-12,4.39304800762933e-12,4.39304800762933e-12,4.3933325214732905e-12,4.392784053196981e-12,4.393053458705079e-12,2.369113148497318e-12,4.298874499906448e-12,4.393053482688171e-12,7.449074573656575e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3830345819595048e-34,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16960,1.3619041988885935e-11,4.39304800762933e-12,4.2988524231722804e-12,4.382363997755146e-12,4.392952726109665e-12,4.333092548395505e-12,4.389081315004178e-12,4.39304800762933e-12,4.39304800762933e-12,4.3933325214732905e-12,4.392784053196981e-12,4.393053458705079e-12,2.369113148497318e-12,4.298874499906448e-12,4.393053482688171e-12,7.449074573656575e-13,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16960,3.6804616786512267e-13,3.253047679872027e-13,3.1892402430891743e-13,3.2498105725803706e-13,3.2530430174046666e-13,3.2409131449956447e-13,3.253075823657858e-13,3.253047679872027e-13,3.253047679872027e-13,3.253258362090474e-13,3.2533135192023376e-13,3.253051716388198e-13,2.2086472161164e-13,3.1892566214157867e-13,3.253051734147653e-13,1.6963298394628582e-13,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU17000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17460,1.2533858793069687e-07,2.2719499900204643e-08,2.25291506185703e-08,1.8069073076375447e-08,2.2710345497096003e-08,6.355224852346084e-09,2.240682436198823e-08,2.2719499900204643e-08,2.2719499900204643e-08,2.27199506540652e-08,2.330651209335569e-08,2.2719516554994912e-08,1.4421632176375676e-08,2.2529177908006114e-08,2.2719515928780863e-08,2.306688419274469e-09,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU17660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17680,0.0,3.9332052769867673e-13,3.764593771134015e-13,3.91702943479668e-13,3.9330354303787527e-13,3.8349825504303614e-13,3.9257833585153206e-13,3.9332052769867673e-13,3.9332052769867673e-13,3.9336454573560995e-13,3.932395579115715e-13,3.933210749659558e-13,1.6324399036508566e-13,3.764625975829358e-13,3.933210806346574e-13,2.096464696265079e-14,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU17710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU17890,3.85325990767583e-07,1.3973326069806076e-09,1.4299806889254804e-09,1.3904116483455774e-09,1.3972781816210415e-09,1.3648053067770952e-09,1.3951807002669311e-09,1.3973326069806078e-09,1.3973326069806076e-09,1.3973439436913578e-09,1.3974250413495686e-09,1.3973393785008069e-09,7.685299664715024e-10,1.4299979867334646e-09,1.3973390420262578e-09,1.0411585609769581e-07,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18000,2.1526578871367498e-07,1.6185208241556608e-07,1.6161538686689344e-07,1.6167452180049347e-07,1.618518700266467e-07,1.6170449351300243e-07,1.6172601448357916e-07,1.6185208241556608e-07,1.6185208241556608e-07,1.6185213919678774e-07,1.6179077054126558e-07,1.6185208899202793e-07,1.3490822413506337e-07,1.616155492633012e-07,1.6185208893564976e-07,4.147087300102576e-08,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3349441446637364e-40,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU18260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
